Parcela,ID,Código,Nombre_común,Nombre_científico,Familia,Ht1_(m),Hc1_(m),CAP1,CAP2_(cm),CAP3_(cm),CAP4_(cm),CAP5_(cm)
23,24,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,39,,,,
23,25,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2.5,0,32,,,,
23,26,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,45,,,,
23,27,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,1.9,0,38,,,,
23,28,,Tuno,Bellucia grossularioides (L.) Triana,Melastomataceae Juss.,6,4,32,,,,
23,29,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,32,,,,
23,30,,Tuno,Bellucia grossularioides (L.) Triana,Melastomataceae Juss.,6,4,40,,,,
23,31,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,39,,,,
23,32,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,66,,,,
23,33,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,33,,,,
23,34,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,54,,,,
23,35,,Pomarroso,Syzygium jambos (L.) Alston,Myrtaceae Juss.,8,4,52,,,,
23,36,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,1.8,0,41,,,,
23,37,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,35,,,,
23,38,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,53,,,,
23,39,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,46,,,,
23,40,,Lacre,Vismia baccifera (L.) Planch. & Triana,Hypericaceae Juss.,11,9,136,,,,
23,41,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,45,,,,
23,42,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,35,,,,
23,43,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,50,,,,
23,44,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,40,,,,
23,45,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,38,,,,
23,46,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,1.9,0,34,,,,
23,47,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,38,,,,
23,48,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,88,,,,
23,49,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,37,,,,
23,50,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2,0,38,,,,
23,51,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,64,,,,
23,52,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,2.3,0,41,,,,
24,1,,Cenizo,Piptocoma discolor (Kunth) Pruski,Asteraceae Giseke,8,6,59,,,,
24,2,,Balso,Heliocarpus americanus L.,Malvaceae Juss.,7,5,33,,,,
24,3,,Balso,Heliocarpus americanus L.,Malvaceae Juss.,6,4,43,,,,
24,4,,Cenizo,Piptocoma discolor (Kunth) Pruski,Asteraceae Giseke,8,6,63,,,,
24,5,,Laurel,Nectandra Sp1.,Lauraceae Juss.,7,6,39,,,,
24,6,,Tuno rosado,Miconia Sp2.,Melastomataceae Juss.,7,6,41,,,,
24,7,,Lacre,Vismia baccifera (L.) Planch. & Triana,Hypericaceae Juss.,9,7,75,,,,
24,8,,Lacre,Vismia baccifera (L.) Planch. & Triana,Hypericaceae Juss.,11,10,102,,,,
24,9,,Lacre,Vismia baccifera (L.) Planch. & Triana,Hypericaceae Juss.,13,10,99,,,,
24,10,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,33,,,,
24,11,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,36,,,,
24,12,,yarumo plateado,Cecropia telenitida Cuatrec.,Urticaceae Juss.,10,9,63,,,,
24,13,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,49,,,,
24,14,,yarumo plateado,Cecropia telenitida Cuatrec.,Urticaceae Juss.,13,12,114,,,,
24,15,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,45,,,,
24,16,,yarumo plateado,Cecropia telenitida Cuatrec.,Urticaceae Juss.,12,10,134,,,,
24,17,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,95,,,,
24,18,,Balso,Heliocarpus americanus L.,Malvaceae Juss.,7,6,85,,,,
24,19,,Candelo,Hieronyma huilensis Cuatrec.,Phyllanthaceae Martinov,8,6,91,,,,
24,20,,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,48,,,,
24,21,,S12,SD12,SF12,9,7,63,,,,
24,22,,Granizo,Hedyosmum goudotianum Solms,Chloranthaceae R.Br. ex Sims,7.5,7,40,,,,
24,23,,Balso,Heliocarpus americanus L.,Malvaceae Juss.,6.5,6,49,,,,
24,24,,Sangregado,Croton smithianus Croizat,Euphorbiaceae Juss.,13,10,115,,,,
