Parcela,ID,Código,Nombre_común,Nombre_científico,Familia,Ht1_(m),Hc1_(m),CAP1,CAP2_(cm),CAP3_(cm),CAP4_(cm),CAP5_(cm)
4,4,4-4,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,8,5,68,,,,
4,5,4-5,Tuno rosado,Miconia Sp2.,Melastomataceae Juss.,6,4,40,,,,
4,6,4-6,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,7,4,43.5,,,,
4,7,4-7,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,7,0,48,,,,
4,8,4-8,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,6,5,53,,,,
4,9,4-9,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,6,5,38,,,,
4,10,4-10,Tuno rosado,Miconia Sp2.,Melastomataceae Juss.,8,6,56,,,,
4,11,4-11,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,49,,,,
4,12,4-12,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,32,,,,
4,13,4-13,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4,0,40,,,,
4,14,4-14,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,37,,,,
4,15,4-15,Parecido Silvo Silvo,Hedyosmum colombianum Cuatrec.,Chloranthaceae R.Br. ex Sims,6,4,33,,,,
4,16,4-16,Tuno negro,Miconia cundinamarcensis Wurdack,Melastomataceae Juss.,6,3,36,,,,
4,17,4-17,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,6,3,39,,,,
4,18,4-18,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,6,4,36,,,,
4,19,4-19,Laurel blanco ,Ocotea acutifolia (Nees) Mez,Lauraceae Juss.,8,6,53.5,,,,
4,20,4-20,Niguito,Miconia resima Naudin,Melastomataceae Juss.,6,4,39,,,,
4,21,4-21,Tuno hoji ancho,Miconia Sp1.,Melastomataceae Juss.,6.5,3.5,37,,,,
4,22,4-22,café de monte,Psychotria Sp1.,Rubiaceae Juss.,8,6,43,,,,
4,23,4-23,schefflera,Schefflera actinophylla (Endl.) Harms,Araliaceae Juss.,9,5,41,,,,
4,24,4-24,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,7,4,54,,,,
4,25,4-25,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,8,4,37,,,,
4,26,4-26,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,7,6,46,,,,
